name,nickname,ranking,is_champion,wins,losses,draws,no_contests,height,reach,weight,stance,age,nationality,hometown,gym,ko_tko,submissions,decisions
Magomed Ankalaev,,0,TRUE,20,2,0,0,"6'2""",78,205,Orthodox,31,Russia,Argun,Allstar Training Center,9,5,6
Alex Pereira,Poatan,1,FALSE,8,3,0,0,"6'4""",79,205,Orthodox,34,Brazil,São Paulo,Teixeira MMA & Fitness,6,2,0
Jiří Procházka,,2,FALSE,29,3,0,0,"6'4""",80,205,Orthodox,32,Czech Republic,Valasske Mezirici,Next Level Gym,21,2,6
Carlos Ulberg,,3,FALSE,10,3,0,0,"6'4""",77,205,Orthodox,30,New Zealand,Auckland,City Kickboxing,6,1,3
Khalil Rountree Jr.,The Warhorse,4,FALSE,16,5,0,0,"6'4""",79,205,Orthodox,33,USA,San Jose,Team Elevation,11,1,4
Jan Błachowicz,Prince of Cieszyn,5,FALSE,30,10,0,0,"6'2""",78,205,Orthodox,42,Poland,Cieszyn,Cezar MMA,11,7,12
Jamahal Hill,,6,FALSE,12,3,0,0,"6'4""",79,205,Orthodox,31,USA,Chicago,Elevation Fight Team,6,3,3
Aleksandar Rakić,,7,FALSE,15,3,0,0,"6'4""",78,205,Orthodox,34,Austria,Belgrade,Allstars Training Center,9,1,5
Dominick Reyes,,8,FALSE,12,3,0,0,"6'4""",78,205,Orthodox,34,USA,Las Vegas,Jackson Wink MMA,10,1,4
Volkan Oezdemir,The Sphinx,9,FALSE,18,7,0,0,"6'4""",77,205,Orthodox,36,Switzerland,Fribourg,Superior Team,13,3,2
Bogdan Guskov,,10,FALSE,12,4,0,0,"6'1""",76,205,Orthodox,32,Ukraine,Kiev,Scorpion MMA,5,3,4
Azamat Murzakanov,,11,FALSE,16,1,0,0,"6'4""",78,205,Orthodox,32,Russia,Makhachkala,Hard Knocks 365,7,6,3
