Rank,Men_PFP,Women_PFP
1,Ilia Topuria,Valentina Shevchenko
2,Islam Makhachev,Zhang Weili
3,Merab Dvalishvili,Kayla Harrison
4,Alexandre Pantoja,Manon Fiorot
5,Dricus Du Plessis,Julianna Peña
6,Alexander Volkanovski,Natalia Silva
7,Magomed Ankalaev,Alexa Grasso
8,Jack Della Maddalena,Erin Blanchfield
9,Tom Aspinall,Virna Jandiroba
10,Alex Pereira,Raquel Pennington
11,Max Holloway,Tatiana Suarez
12,Belal Muhammad,Rose Namajunas
13,Arman Tsarukyan,Yan Xiaonan
14,Khamzat Chimaev,Amanda Lemos
15,Charles Oliveira,Maycee Barber
